Fecha,Km_totales,Consumo_repostaje,Consumo_total,Precio_L,Precio
16/06/2023,14.2,,14.2,1.479,64.0
27/06/2023,378.1,6.1,6.5,1.499,33.01
06/07/2023,953.7,5.6,6.0,1.509,46.55
10/07/2023,1381.0,5.4,5.8,1.549,37.41
18/07/2023,1817.7,5.5,5.7,1.529,34.19
20/07/2023,2363.1,5.6,5.7,1.609,49.56
01/08/2023,3063.1,5.0,5.5,1.589,55.89
04/09/2023,3678.0,5.6,5.5,1.709,56.88
14/09/2023,4270.8,5.5,5.5,1.749,58.14
21/09/2023,4854.9,5.4,5.5,1.779,54.01
03/10/2023,5486.5,5.4,5.5,1.879,65.22
11/10/2023,6076.1,5.4,5.5,1.735,55.1
27/10/2023,6607.0,5.4,5.5,1.719,48.99
06/11/2023,7180.0,5.4,5.5,1.719,55.25
15/11/2023,7795.6,5.5,5.5,1.679,55.0
24/11/2023,8392.8,5.5,5.5,1.759,59.08
04/12/2023,9042.2,5.2,5.5,1.619,58.04
21/12/2023,9669.3,5.6,5.5,1.589,54.26
29/12/2023,10118.0,5.4,5.5,1.589,39.03
08/01/2024,10610.0,4.7,5.4,1.599,37.0
11/01/2024,11170.0,5.5,5.4,1.659,52.79
19/01/2024,11744.0,5.5,5.4,1.579,48.71
05/02/2024,12358.0,5.4,5.4,1.599,52.99
07/02/2024,12919.0,5.3,5.4,1.609,49.75
22/02/2024,13591.0,5.4,5.4,1.609,57.55
01/03/2024,13915.0,5.9,5.4,1.569,32.24
13/03/2024,14499.0,5.5,5.4,1.649,55.9
03/04/2024,15153.0,5.4,5.4,1.599,54.22
19/04/2024,15791.0,5.4,5.4,1.659,53.78
29/04/2024,16344.0,5.2,5.4,1.609,46.23
03/05/2024,16893.0,5.3,5.4,1.629,45.2
09/05/2024,17459.0,5.4,5.4,1.569,47.62
15/05/2024,18165.0,5.2,5.4,1.649,63.01
31/05/2024,18773.0,5.4,5.4,1.539,52.4
11/06/2024,19373.0,5.4,5.4,1.509,47.43
19/06/2024,20011.0,5.0,5.4,1.519,45.81
28/06/2024,20609.0,5.2,5.4,1.569,47.74
17/07/2024,21039.0,5.1,5.4,1.669,35.32
25/07/2024,21652.0,5.0,5.4,1.519,45.02
09/08/2024,22342.0,5.0,5.4,1.529,49.89
23/08/2024,23080.0,4.8,5.3,1.509,55.0
30/08/2024,23685.0,5.1,5.3,1.499,45.0
11/09/2024,24472.0,4.6,5.3,1.569,55.59
19/09/2024,25236.0,4.9,5.3,1.449,54.18
30/09/2024,25950.0,4.9,5.3,1.459,48.25
10/10/2024,26522.0,5.1,5.3,1.469,43.64
24/10/2024,27244.0,5.1,5.3,1.489,53.83
07/11/2024,27947.0,5.1,5.3,1.579,56.56
21/11/2024,28656.0,4.9,5.3,1.489,50.88
05/12/2024,29366.0,5.2,5.3,1.519,55.52
19/12/2024,29993.0,5.5,5.3,1.519,53.65
18/02/2025,30576.0,5.5,5.3,1.579,49.33
13/03/2025,31208.0,5.2,5.3,1.549,50.0
24/03/2025,31846.0,5.1,5.3,1.629,51.83
17/04/2025,32476.0,5.3,5.3,1.499,49.0
17/05/2025,33150.0,5.1,5.3,1.499,51.57
28/05/2025,33815.0,5.2,5.3,1.449,47.09
08/06/2025,34495.0,4.9,5.3,1.479,50.15
15/06/2025,35342.0,4.7,5.2,1.459,56.0
04/07/2025,36171.0,4.9,5.2,1.639,63.18
15/07/2025,36737.0,5.1,5.2,1.519,44.02
24/07/2025,37361.0,5.0,5.2,1.519,43.55
25/07/2025,38184.0,4.5,5.2,1.479,55.97
01/08/2025,38833.0,4.9,5.2,1.569,47.49
07/08/2025,39397.0,4.8,5.2,1.539,43.4
14/08/2025,40132.0,5.0,5.2,1.559,51.49
04/09/2025,40675.0,5.0,5.2,1.559,51.49
18/10/2025,41378.0,5.2,5.2,1.509,51.92
08/11/2025,41947.0,5.1,5.2,1.509,45.6
10/01/2026,42556.0,5.6,5.2,1.469,52.0
16/02/2026,43176.0,5.5,5.2,1.519,50.01
19/03/2026,43907.0,5.0,5.2,1.949,70.0
29/03/2026,44557.0,4.8,5.2,2.139,30.0
07/04/2026,44950.0,5.3,5.2,1.999,74.0
26/04/2026,45665.0,5.0,5.2,1.755,60.0
03/05/2026,46275.0,4.7,5.2,1.799,52.73
17/05/2026,47087.0,4.9,5.2,1.705,64.84
13/07/2026,47567.0,5.7,5.2,1.619,40.01
24/07/2026,48223.0,5.1,5.2,1.809,60.0
